Time,Plasma/ CSF/ ER Nicotine,Sequestered Nicotine,Fraction of Activated nAChR
25.2533464062624,8.07811539804321,19.3236193953083,0.21253350640414
25.2585775356537,7.86182531118297,19.3309247205456,0.208016044237732
25.2638086650451,7.65873207209095,19.3348114089491,0.203725938403759
25.2690397944365,7.46798765966364,19.3355063015303,0.199653596431837
25.2742709238278,7.28879865176997,19.3332216193741,0.195790442881889
25.2795020532192,7.12042303500887,19.3281559068343,0.192126555877255
25.2847331826106,6.96216670736912,19.3204949153448,0.188650989767858
25.289964312002,6.8133798062967,19.3104124255715,0.185356132329372
25.2934668613173,6.71874731786566,19.3023893828754,0.183247184667591
25.2969694106326,6.62791451715806,19.2933999909437,0.181212263800965
25.300471959948,6.54071629526465,19.2834884127633,0.179248679856907
25.3039745092633,6.45699468539138,19.2726968639206,0.177355060175715
25.3074770585787,6.37659884496283,19.261065706898,0.175529233999885
25.310979607894,6.29938470391046,19.2486335445789,0.17376714275268
25.3144821572094,6.22521407713472,19.2354372995785,0.17206666190034
25.3179847065247,6.15395480543836,19.2215122844296,0.170427068055937
25.32148725584,6.08548075502918,19.2068922704904,0.168845761743192
25.3249898051554,6.01967121239795,19.1916095554552,0.167319760957126
25.3284923544707,5.95641059403279,19.1756950275106,0.165847247737502
25.3319949037861,5.89558837351116,19.159178226479,0.164427457550028
25.3354974531014,5.83709903860702,19.1420874034222,0.163057629180963
25.3390000024168,5.78084151574863,19.1244495768947,0.161735168738972
25.3425025517321,5.72671905456938,19.1062905858479,0.160459094066055
25.3460051010474,5.67463921462393,19.0876351408373,0.159228314278401
25.3495076503628,5.62451372899233,19.068506874201,0.158039575082227
25.3530101996781,5.5762579647253,19.0489283868764,0.156891538055599
25.3565127489935,5.52979090683342,19.0289212922865,0.155784019955482
25.3600152983088,5.48503534734322,19.008506260045,0.154714503033766
25.3635178476242,5.44191731965658,18.9877030575982,0.153680907714956
25.3670203969395,5.40036593339009,18.966530588776,0.152682568893768
25.3705229462548,5.36031350743449,18.9450069311662,0.151718751789476
25.3740254955702,5.32169538290442,18.9231493727202,0.150787218886103
25.3775280448855,5.28444964693862,18.9009744463912,0.149885994227289
25.3810305942009,5.24851694163587,18.8784979621644,0.149015534287631
25.3834207388905,5.22472099818895,18.8629946561896,0.148438456334728
25.3858108835802,5.20149279690489,18.8473626028197,0.147874022637674
25.3882010282698,5.17881548815686,18.8316062907558,0.147322148449993
25.3905911729595,5.15667273916641,18.8157300729209,0.146782702841502
25.3929813176492,5.1350487285836,18.7997381708861,0.146255272462431
25.3953714623388,5.11392810566338,18.7836346793146,0.145739466877004
25.3977616070285,5.09329597150365,18.7674235699117,0.145234995131858
25.4001517517181,5.07313787359003,18.7511086950238,0.144741563695725
25.4025418964078,5.053439793839,18.7346937911259,0.144258856397684
25.4072195544871,5.01616899535859,18.7022931264004,0.143344067072315
25.4118972125664,4.98051084815924,18.6695491083677,0.142467068606771
25.4165748706458,4.94637350769706,18.636486194687,0.141625836860482
25.4212525287251,4.91367042246113,18.6031274235866,0.140818452688875
25.4305292937851,4.85273969762779,18.5361790725092,0.139310260759995
25.4398060588451,4.79654956689214,18.4683065459759,0.137914894377811
25.449082823905,4.74458244974879,18.3996472988526,0.136620539831063
25.458359588965,4.69637816777755,18.3303233900024,0.135416610059486
25.467636354025,4.65152709589117,18.2604433210019,0.134293576289219
25.476913119085,4.60966484267904,18.1901034611399,0.133242904414219
25.486189884145,4.57046753121081,18.1193893132534,0.132256962627957
25.4954666492049,4.5336473593048,18.0483767053149,0.131328918425651
25.511967529287,4.47324698487282,17.9215321562349,0.129802570990561
25.528468409369,4.41834314791681,17.7942743218523,0.128410862718069
25.544969289451,4.36794641571759,17.6668609251082,0.127129890665798
25.561470169533,4.32125331907279,17.5394998402073,0.125939936421622
25.577971049615,4.27760535722053,17.412360078828,0.124824865555701
25.5944719296971,4.23646564740084,17.2855780578951,0.123771583512866
25.6109728097791,4.19740136468626,17.1592623266651,0.122769304881297
25.6274736898611,4.16006401272423,17.0334988511873,0.121809322623801
25.6439745699431,4.124170449047,16.9083561035939,0.120884657675824
25.6604754500251,4.0894892541648,16.7838887308326,0.119989489114256
25.6769763301072,4.05583195697874,16.6601399036383,0.119119076005397
25.6934772101892,4.02304599391609,16.5371432038939,0.118269667087021
25.7099780902712,3.99100783846957,16.4149244771057,0.117438119901744
25.7264789703532,3.95961687346065,16.2935034716596,0.116621865516936
25.7429798504352,3.92879086087492,16.1728950510666,0.115818910493209
25.7594807305173,3.89846275513366,16.0531100572242,0.11502754970161
25.7759816105993,3.86857802874401,15.9341560246489,0.114246364880718
25.7924824906813,3.83909223900452,15.8160378288094,0.113474307585364
25.8089833707633,3.80996901844601,15.6987582324567,0.112710459965532
25.8254842508453,3.78117852177178,15.5823183002976,0.1119540196802
25.8516551325514,3.7361394058928,15.3993619984167,0.110768142368287
25.8778260142574,3.69179992753388,15.2185101306728,0.109597628328667
25.9039968959635,3.64810422430559,15.0397507572177,0.108441080858466
25.9301677776696,3.60501058326914,14.8630684519672,0.107297547427979
25.9563386593756,3.56248701347088,14.6884454924888,0.106166276230534
25.9825095410817,3.52050867763445,14.5158625457055,0.105046682378522
26,3.4927481002292,14.4016494541019,0.10430474968107
26,3.4927481002292,14.4016494541019,0.10430474968107
26.0000014087601,3.49388748147228,14.401640295992,0.104304776310015
26.0000028175203,3.49502682606778,14.4016311428503,0.104304888879113
26.0000061868334,3.4977516421784,14.4016092703463,0.104305484347278
26.0000095561466,3.50047627284441,14.4015874231011,0.104306512821902
26.0000129254597,3.50320070320342,14.4015656032178,0.104308007761111
26.0000182380135,3.50749602241704,14.4015312561085,0.104311333245121
26.0000280952596,3.51546447689612,14.4014677130991,0.104320612881651
26.0000450128855,3.52913639486906,14.4013592227822,0.104345741496838
