seconds,mg
108600,0.002430556
108610,0.002430556
108620,0.002430556
108630,0.002430556
108640,0.002430556
108650,0.002430556
108660,0.002430556
108670,0.002430556
108680,0.002430556
108690,0.002430556
108700,0.002430556
108710,0.002430556
108720,0.002430556
108730,0.002430556
108740,0.002430556
108750,0.002430556
108760,0.002430556
108770,0.002430556
108780,0.002430556
108790,0.002430556
108800,0.002430556
108810,0.002430556
108820,0.002430556
108830,0.002430556
108840,0.002430556
108850,0.002430556
108860,0.002430556
108870,0.002430556
108880,0.002430556
108890,0.002430556
108900,0.002430556
108910,0.002430556
108920,0.002430556
108930,0.002430556
108940,0.002430556
108950,0.002430556
108960,0.002430556
108970,0.002430556
108980,0.002430556
108990,0.002430556
109000,0.002430556
109010,0.002430556
109020,0.002430556
109030,0.002430556
109040,0.002430556
109050,0.002430556
109060,0.002430556
109070,0.002430556
109080,0.002430556
109090,0.002430556
109100,0.002430556
109110,0.002430556
109120,0.002430556
109130,0.002430556
109140,0.002430556
109150,0.002430556
109160,0.002430556
109170,0.002430556
109180,0.002430556
109190,0.002430556
109200,0.002430556
109210,0.002430556
109220,0.002430556
109230,0.002430556
109240,0.002430556
109250,0.002430556
109260,0.002430556
109270,0.002430556
109280,0.002430556
109290,0.002430556
109300,0.002430556
109310,0.002430556
109320,0.002430556
109330,0.002430556
109340,0.002430556
109350,0.002430556
109360,0.002430556
109370,0.002430556
109380,0.002430556
109390,0.002430556
109400,0.002430556
109410,0.002430556
109420,0.002430556
109430,0.002430556
109440,0.002430556
109450,0.002430556
109460,0.002430556
109470,0.002430556
109480,0.002430556
109490,0.002430556
109500,0.002430556
109510,0.002430556
109520,0.002430556
109530,0.002430556
109540,0.002430556
109550,0.002430556
109560,0.002430556
109570,0.002430556
109580,0.002430556
109590,0.002430556
109600,0.002430556
109610,0.002430556
109620,0.002430556
109630,0.002430556
109640,0.002430556
109650,0.002430556
109660,0.002430556
109670,0.002430556
109680,0.002430556
109690,0.002430556
109700,0.002430556
109710,0.002430556
109720,0.002430556
109730,0.002430556
109740,0.002430556
109750,0.002430556
109760,0.002430556
109770,0.002430556
109780,0.002430556
109790,0.002430556
109800,0.002430556
109810,0.002430556
109820,0.002430556
109830,0.002430556
109840,0.002430556
109850,0.002430556
109860,0.002430556
109870,0.002430556
109880,0.002430556
109890,0.002430556
109900,0.002430556
109910,0.002430556
109920,0.002430556
109930,0.002430556
109940,0.002430556
109950,0.002430556
109960,0.002430556
109970,0.002430556
109980,0.002430556
109990,0.002430556
110000,0.002430556
110010,0.002430556
